,Claim Description,Coverage Code,Accident Source
0,"THE IV WAS MAKING A LEFT TURN ON A GREEN ARROW WHEN A PEDESTRIAN  RAN INTO THE P/S OF IV. THE IV WAS DENTED ON THE FRONT P/S OF THE HOOD, THEN FELL BACKWARDS TO THE PAVEMENT. THE PEDESTRIAN         EXPERIENCED A LUMP ON HIS HEAD.",AN,"Struck pedestrian, bicycle"
1,CLAIMANT ALLEGES SHE SUFFERED INJURIES IN AN ELEVATOR.,GB,Elevator/Escalator
2,"IV PASSENGER SUSTAINED INJURIES, OV AND IV COLLIDED CAUSING IV TO HIT ANOTHER OV AS WELL",AB,Sideswipe or lane change
3,CLAIMANT ALLEGES SHE WAS BURNED UNKNOWN DEGREE FROM HOT TEA SHE   ORDERED IN THE DT AFTER THE LID POPPED OFF BURNING HER RIGHT LEG  AND SEAT. *UNKNOWN IF DELIVERY*,PA,Food Product
4,THE IV WAS MERGING INTO A CONSTRUCTION ZONE WHEN IT REAR ENDED THEOV. THE OV INCURRED DAMAGE TO THE D/S REAR CORNER. THERE WERE NO  INJURIES REPORTED.,AD,Struck vehicle in rear
5,OV SITTING AT STOP LIGHT WAITING TO TURN WHEN IV R/E OV,AD,Struck vehicle in rear
6,AT ABOUT 230 PM GAVIN CALLED STATING THAT WHILE HE WAS IN THE HOMEPREFORMING A SERVICE VISIT HIS ALARM WENT OFF SO HE LOOKED OUT THEWINDOW. THE NEIGHBOR HAD BACKED OUT OF THEIR DRIVEWAY AND CUT IT  TOO SHARP AND HIT THE REAR DRIVER SIDE DOOR AND BUMPER.  THE OTHERDRIVER HAD TO GET BACK TO WORK AND JUST GAVE THE INFORMATION      NEEDED ( DL AND INSURANCE).  GAVIN CONTACTED THE LOCAL POLICE     DEPARTMENT AND SINCE THEY ALREADY EXCHANGED INFORMATION AND THE   OTHER DRIVER HAD TO LEAVE NO,AD,Backed into vehicle or object
7,MBR SLIPPED AND FELL ON A PUDDLE OF WATER IN CLOTHING. THE MBR    THE APPEARED INTOXICATED AND SMELLED LIKE ALCOHOL.,GB,Alleged improper maintenance - other
8,"RECEIVED A CALL FROM JOANN ADKINS ABOUT HER FALL ON 1/17/23 AT    6:10PM AT THE ENTRANCE TO THE HOTEL, I TOLD HER THAT OUR INSURANCECOMPANY WILL CALL HER NECT WEEK.",GB,Alleged Negligent Act
9,CLAIMANT SUFFERED BODILY INJURY DUE TO PICKED UP SOME CERTAIN BAG AND HE FELT THE LEFT SIDE OF HIS BODY,EL,Fall - other falls
